index,category,A,B,answer
129,above,magenta cube,red sphere,above
130,above,red sphere,blue cube,above
131,above,magenta sphere,cyan sphere,above
132,above,black sphere,red cube,above
133,above,cyan sphere,black cube,above
134,above,green sphere,red sphere,above
135,above,blue cube,blue sphere,above
136,above,magenta sphere,green sphere,above
137,above,black cube,green sphere,above
138,above,magenta cube,magenta sphere,above
139,above,black sphere,black cube,above
140,above,cyan sphere,black cube,above
141,above,blue cube,red sphere,above
142,above,red cube,yellow sphere,above
143,above,black sphere,yellow cube,above
144,above,blue cube,magenta cube,above
145,above,green cube,blue sphere,above
146,above,black sphere,green sphere,above
147,above,yellow cube,cyan sphere,above
148,above,yellow cube,black cube,above
149,above,cyan cube,cyan sphere,above
150,above,green sphere,magenta cube,above
151,above,yellow cube,magenta cube,above
152,above,red cube,blue cube,above
153,above,green cube,yellow sphere,above
154,above,blue sphere,blue cube,above
155,above,black sphere,cyan sphere,above
156,above,green cube,cyan sphere,above
157,above,green cube,blue cube,above
158,above,green sphere,red sphere,above
159,above,cyan cube,red sphere,above
160,above,yellow cube,black cube,above
161,above,magenta cube,magenta sphere,above
162,above,black sphere,green cube,above
163,above,yellow cube,black cube,above
164,above,cyan cube,yellow cube,above
165,above,cyan cube,blue cube,above
166,above,green cube,black sphere,above
167,above,magenta cube,cyan sphere,above
168,above,blue sphere,magenta sphere,above
169,above,magenta cube,black sphere,above
170,above,blue cube,green sphere,above
171,above,magenta sphere,cyan sphere,above
172,above,blue cube,cyan sphere,above
173,above,cyan cube,blue sphere,above
174,above,blue cube,red cube,above
175,above,black sphere,blue cube,above
176,above,blue cube,red sphere,above
177,above,yellow sphere,cyan sphere,above
178,above,cyan cube,yellow cube,above
179,above,cyan sphere,magenta cube,above
180,above,green sphere,blue sphere,above
181,above,black cube,green cube,above
182,above,black cube,magenta cube,above
183,above,green sphere,red sphere,above
184,above,green sphere,black sphere,above
185,above,magenta sphere,cyan sphere,above
186,above,magenta cube,magenta sphere,above
187,above,black cube,cyan cube,above
188,above,cyan sphere,blue sphere,above
189,above,red cube,cyan cube,above
190,above,green sphere,cyan cube,above
191,above,yellow cube,cyan sphere,above
192,above,magenta sphere,blue sphere,above
193,above,cyan cube,magenta sphere,above
194,above,blue cube,magenta cube,above
195,above,yellow cube,blue cube,above
196,above,blue cube,black cube,above
197,above,yellow cube,red sphere,above
198,above,blue cube,magenta cube,above
199,above,blue sphere,black sphere,above
200,below,cyan cube,magenta sphere,below
201,below,yellow sphere,blue sphere,below
202,below,magenta sphere,black cube,below
203,below,yellow cube,red cube,below
204,below,black sphere,green cube,below
205,below,blue cube,yellow sphere,below
206,below,yellow sphere,green cube,below
207,below,black cube,yellow cube,below
208,below,green cube,magenta cube,below
209,below,cyan sphere,green cube,below
210,below,magenta cube,black sphere,below
211,below,green sphere,red sphere,below
212,below,yellow cube,magenta sphere,below
213,below,yellow sphere,blue cube,below
214,below,yellow sphere,red cube,below
215,below,red sphere,green sphere,below
216,below,blue sphere,yellow sphere,below
217,below,black cube,magenta cube,below
218,below,yellow cube,green sphere,below
219,below,yellow sphere,green sphere,below
220,below,cyan sphere,yellow cube,below
221,below,yellow cube,black sphere,below
222,below,black sphere,green cube,below
223,below,black sphere,yellow cube,below
224,below,cyan cube,yellow sphere,below
225,below,red cube,red sphere,below
226,below,black cube,blue cube,below
227,below,red cube,yellow cube,below
228,below,magenta cube,red sphere,below
229,below,green cube,black sphere,below
230,below,cyan sphere,blue cube,below
231,below,blue cube,red sphere,below
232,below,yellow cube,green cube,below
233,below,blue cube,yellow cube,below
234,below,magenta cube,red sphere,below
235,below,cyan sphere,green cube,below
236,below,magenta cube,cyan cube,below
237,below,black cube,magenta cube,below
238,below,blue cube,green sphere,below
239,below,black sphere,cyan sphere,below
240,below,black sphere,cyan sphere,below
241,below,green sphere,blue cube,below
242,below,yellow sphere,blue cube,below
243,below,cyan sphere,blue cube,below
244,below,black cube,blue sphere,below
245,below,magenta sphere,cyan sphere,below
246,below,yellow sphere,red cube,below
247,below,yellow sphere,yellow cube,below
248,below,yellow sphere,green cube,below
249,below,cyan sphere,blue cube,below
250,below,black cube,blue cube,below
251,below,blue cube,blue sphere,below
252,below,green sphere,red cube,below
253,below,yellow cube,blue sphere,below
254,below,blue cube,black cube,below
255,below,green sphere,cyan cube,below
256,below,green sphere,magenta sphere,below
257,below,black cube,red sphere,below
258,below,green cube,red cube,below
259,below,cyan sphere,cyan cube,below
260,below,red sphere,red cube,below
261,below,red cube,cyan sphere,below
262,below,cyan cube,yellow cube,below
263,below,yellow cube,black cube,below
264,below,blue sphere,black sphere,below
265,below,blue sphere,black sphere,below
266,below,magenta cube,black sphere,below
267,below,cyan cube,blue sphere,below
268,below,red cube,yellow sphere,below
269,below,magenta cube,blue sphere,below
270,below,black sphere,blue sphere,below
271,below,black sphere,cyan cube,below
272,below,blue sphere,black cube,below
273,below,magenta cube,blue cube,below
274,below,yellow sphere,green cube,below
275,below,red sphere,black sphere,below
276,below,magenta sphere,black sphere,below
277,below,yellow cube,black cube,below
278,below,cyan sphere,cyan cube,below
279,below,black cube,blue cube,below
280,below,green cube,red cube,below
281,below,blue cube,blue sphere,below
282,below,black cube,magenta sphere,below
283,below,magenta sphere,cyan sphere,below
284,below,red sphere,black sphere,below
285,below,yellow cube,green cube,below
286,below,magenta cube,green sphere,below
287,below,blue cube,green sphere,below
288,below,red cube,blue sphere,below
289,below,green sphere,blue cube,below
290,below,yellow cube,cyan cube,below
291,below,green cube,blue cube,below
292,below,red sphere,yellow cube,below
293,below,magenta sphere,yellow cube,below
294,below,yellow cube,magenta sphere,below
295,below,red cube,yellow sphere,below
296,below,blue sphere,yellow cube,below
297,below,red sphere,yellow cube,below
298,below,yellow cube,black cube,below
299,below,black cube,red sphere,below
300,below,red cube,blue sphere,below
301,below,cyan sphere,blue sphere,below
302,below,magenta cube,red sphere,below
303,below,yellow cube,blue sphere,below
304,below,cyan sphere,yellow sphere,below
305,below,magenta cube,green sphere,below
306,below,red sphere,blue cube,below
307,below,black cube,yellow cube,below
308,below,red cube,yellow sphere,below
309,below,cyan cube,yellow sphere,below
310,below,black sphere,red sphere,below
311,below,blue sphere,yellow sphere,below
312,below,blue sphere,yellow sphere,below
313,below,cyan cube,green cube,below
314,below,blue sphere,magenta cube,below
315,below,magenta sphere,cyan cube,below
316,below,blue cube,red sphere,below
317,below,cyan cube,black sphere,below
318,below,magenta cube,cyan sphere,below
319,below,magenta sphere,blue cube,below
320,below,magenta sphere,cyan sphere,below
321,below,red cube,black cube,below
322,below,black cube,red cube,below
323,below,black cube,red sphere,below
324,below,cyan sphere,cyan cube,below
325,below,black cube,black sphere,below
326,below,green sphere,black sphere,below
327,below,blue cube,yellow cube,below
328,below,black sphere,magenta cube,below
329,below,blue cube,cyan sphere,below
330,below,magenta cube,blue cube,below
331,below,green cube,yellow sphere,below
332,below,red cube,black cube,below
333,below,cyan cube,green cube,below
334,below,red cube,magenta cube,below
335,below,blue sphere,green cube,below
336,below,black sphere,green sphere,below
337,below,yellow sphere,yellow cube,below
338,below,cyan cube,black cube,below
339,below,red cube,blue cube,below
340,below,green sphere,red sphere,below
341,below,red cube,blue cube,below
342,below,cyan sphere,magenta cube,below
343,below,cyan cube,red sphere,below
344,below,yellow cube,blue cube,below
345,below,blue cube,cyan sphere,below
346,below,green sphere,black cube,below
347,below,magenta sphere,green sphere,below
348,below,red cube,yellow cube,below
349,below,blue cube,green sphere,below
350,below,blue cube,red cube,below
351,below,magenta cube,blue cube,below
352,below,blue cube,green cube,below
353,below,magenta cube,black sphere,below
354,below,black cube,green sphere,below
355,below,magenta cube,blue sphere,below
356,below,magenta cube,blue sphere,below
357,below,yellow cube,green sphere,below
358,below,yellow cube,green cube,below
359,below,black sphere,yellow sphere,below
360,below,cyan cube,red sphere,below
361,below,black cube,cyan cube,below
362,below,magenta sphere,black cube,below
363,below,cyan cube,yellow cube,below
364,below,green sphere,black sphere,below
365,below,blue sphere,magenta cube,below
366,below,black cube,cyan sphere,below
367,below,green cube,red cube,below
368,below,cyan sphere,yellow sphere,below
369,below,cyan cube,black sphere,below
370,below,black sphere,blue cube,below
371,below,magenta sphere,green sphere,below
372,below,cyan cube,red sphere,below
373,below,red sphere,cyan cube,below
374,below,green cube,yellow cube,below
375,below,red cube,magenta sphere,below
376,below,magenta sphere,red cube,below
377,below,blue sphere,red cube,below
378,below,black sphere,blue cube,below
379,below,magenta cube,green cube,below
380,below,black cube,yellow sphere,below
381,below,cyan sphere,blue sphere,below
382,below,black sphere,cyan cube,below
383,below,red cube,cyan cube,below
384,below,cyan sphere,black cube,below
385,below,cyan sphere,magenta sphere,below
386,below,blue cube,cyan cube,below
387,below,red cube,yellow cube,below
388,below,yellow sphere,black cube,below
389,below,red sphere,red cube,below
390,below,blue cube,black cube,below
391,below,black sphere,green sphere,below
392,below,black sphere,magenta cube,below
393,below,magenta cube,cyan cube,below
394,below,yellow cube,black sphere,below
395,below,blue cube,black sphere,below
396,below,magenta sphere,green sphere,below
397,below,magenta sphere,red sphere,below
398,below,cyan cube,magenta cube,below
399,below,red cube,green sphere,below
400,close,black cube,magenta cube,A
401,close,cyan sphere,black sphere,A
402,close,yellow cube,black sphere,A
403,close,yellow sphere,black cube,A
404,close,green sphere,magenta cube,A
405,close,green cube,black sphere,A
406,close,black sphere,green cube,A
407,close,green sphere,red sphere,A
408,close,cyan cube,cyan sphere,A
409,close,green cube,blue cube,A
410,close,green cube,blue cube,A
411,close,blue cube,green sphere,A
412,close,yellow sphere,magenta sphere,A
413,close,black cube,green sphere,A
414,close,cyan sphere,magenta cube,A
415,close,blue cube,yellow cube,A
416,close,yellow cube,magenta cube,A
417,close,blue sphere,red cube,A
418,close,blue sphere,yellow cube,A
419,close,yellow sphere,yellow cube,A
420,close,yellow cube,black sphere,A
421,close,red sphere,yellow cube,A
422,close,magenta sphere,blue cube,A
423,close,yellow sphere,red cube,A
424,close,blue cube,black cube,A
425,close,green sphere,cyan sphere,A
426,close,red sphere,green sphere,A
427,close,red sphere,cyan cube,A
428,close,blue cube,magenta sphere,A
429,close,magenta sphere,cyan cube,A
430,close,magenta cube,red cube,A
431,close,yellow sphere,cyan cube,A
432,close,cyan cube,black sphere,A
433,close,black cube,magenta cube,A
434,close,black cube,red sphere,A
435,close,yellow cube,green cube,A
436,close,cyan sphere,red cube,A
437,close,blue cube,green sphere,A
438,close,blue cube,black sphere,A
439,close,black sphere,green sphere,A
440,close,red cube,cyan sphere,A
441,close,green sphere,cyan sphere,A
442,close,green sphere,blue cube,A
443,close,blue sphere,yellow cube,A
444,close,blue sphere,red cube,A
445,close,red sphere,blue cube,A
446,close,black cube,yellow cube,A
447,close,red cube,black sphere,A
448,close,green cube,red sphere,A
449,close,magenta cube,blue cube,A
450,close,cyan sphere,red cube,A
451,close,blue cube,black sphere,A
452,close,red cube,cyan sphere,A
453,close,cyan cube,blue cube,A
454,close,green sphere,yellow cube,A
455,close,blue cube,black cube,A
456,close,blue sphere,cyan sphere,A
457,close,red sphere,red cube,A
458,close,magenta sphere,yellow cube,A
459,close,magenta sphere,green sphere,A
460,close,magenta cube,black cube,A
461,close,green cube,yellow sphere,A
462,close,cyan cube,cyan sphere,A
463,close,red sphere,blue cube,A
464,close,black sphere,yellow sphere,A
465,close,green sphere,cyan sphere,A
466,close,yellow cube,cyan cube,A
467,close,cyan sphere,blue cube,A
468,close,cyan cube,yellow sphere,A
469,close,blue sphere,blue cube,A
470,close,black cube,blue cube,A
471,close,magenta cube,green cube,A
472,close,red cube,green sphere,A
473,close,blue sphere,blue cube,A
474,close,blue cube,cyan sphere,A
475,close,red sphere,red cube,A
476,close,cyan cube,cyan sphere,A
477,close,green sphere,green cube,A
478,close,blue cube,magenta cube,A
479,close,cyan sphere,black sphere,A
480,close,green cube,blue cube,A
481,close,magenta cube,blue sphere,A
482,close,black cube,red sphere,A
483,close,cyan sphere,yellow sphere,A
484,close,green sphere,yellow cube,A
485,close,magenta sphere,yellow cube,A
486,close,green cube,magenta sphere,A
487,close,cyan sphere,green cube,A
488,close,green sphere,cyan sphere,A
489,close,green cube,magenta sphere,A
490,close,yellow cube,cyan cube,A
491,close,black sphere,yellow sphere,A
492,close,cyan cube,blue sphere,A
493,close,yellow sphere,yellow cube,A
494,close,magenta cube,red cube,A
495,close,green cube,red sphere,A
496,close,red sphere,magenta cube,A
497,close,yellow cube,cyan sphere,A
498,close,blue sphere,black cube,A
499,close,magenta cube,blue cube,A
500,close,red cube,magenta sphere,A
501,close,black cube,magenta cube,A
502,close,red sphere,magenta sphere,A
503,close,magenta cube,red sphere,A
504,close,green sphere,blue sphere,A
505,close,cyan sphere,red cube,A
506,close,yellow cube,cyan sphere,A
507,close,magenta sphere,cyan cube,A
508,close,black sphere,green sphere,A
509,close,cyan cube,red cube,A
510,close,yellow sphere,cyan cube,A
511,close,black cube,cyan sphere,A
512,close,red sphere,red cube,A
513,close,black sphere,cyan cube,A
514,close,cyan cube,black cube,A
515,close,magenta sphere,green cube,A
516,close,green cube,magenta sphere,A
517,close,green cube,green sphere,A
518,close,green sphere,cyan sphere,A
519,close,red sphere,magenta cube,A
520,close,magenta cube,red sphere,A
521,close,black sphere,red cube,A
522,close,magenta cube,red cube,A
523,close,blue sphere,magenta sphere,A
524,close,magenta cube,blue sphere,A
525,close,red sphere,cyan sphere,A
526,close,green cube,yellow cube,A
527,close,cyan cube,yellow cube,A
528,close,magenta sphere,yellow cube,A
529,close,magenta sphere,red cube,A
530,close,black sphere,magenta sphere,A
531,close,cyan sphere,magenta cube,A
532,close,red cube,magenta sphere,A
533,close,cyan cube,black sphere,A
534,close,red sphere,red cube,A
535,close,black cube,black sphere,A
536,close,red sphere,black cube,A
537,close,red sphere,green sphere,A
538,close,black cube,black sphere,A
539,close,green cube,red sphere,A
540,close,magenta cube,yellow cube,A
541,close,cyan cube,red cube,A
542,close,blue cube,magenta sphere,A
543,close,blue sphere,blue cube,A
544,close,magenta sphere,blue cube,A
545,close,magenta cube,red sphere,A
546,close,blue sphere,black cube,A
547,close,magenta sphere,green cube,A
548,close,yellow cube,magenta sphere,A
549,close,yellow sphere,green cube,A
550,close,cyan sphere,yellow cube,A
551,close,black cube,cyan sphere,A
552,close,black cube,yellow sphere,A
553,close,blue cube,black sphere,A
554,close,cyan cube,magenta cube,A
555,close,cyan cube,magenta sphere,A
556,close,red sphere,cyan cube,A
557,close,yellow sphere,blue cube,A
558,close,red cube,magenta sphere,A
559,close,magenta sphere,green sphere,A
560,close,cyan sphere,yellow sphere,A
561,close,red cube,cyan cube,A
562,close,cyan cube,magenta cube,A
563,close,blue sphere,black cube,A
564,close,green cube,magenta cube,A
565,close,green sphere,black sphere,A
566,close,cyan cube,cyan sphere,A
567,close,blue sphere,cyan sphere,A
568,close,yellow cube,cyan cube,A
569,close,magenta sphere,cyan sphere,A
570,close,blue sphere,cyan sphere,A
571,close,magenta cube,cyan cube,A
572,close,red cube,green sphere,A
573,close,blue cube,black sphere,A
574,close,cyan cube,red cube,A
575,close,black cube,cyan sphere,A
576,close,black cube,cyan sphere,A
577,close,black cube,yellow cube,A
578,close,yellow cube,magenta sphere,A
579,close,red cube,magenta sphere,A
580,close,green sphere,black cube,A
581,close,black cube,magenta cube,A
582,close,black cube,red sphere,A
583,close,blue sphere,red sphere,A
584,close,blue cube,yellow sphere,A
585,close,green sphere,blue cube,A
586,close,red cube,blue cube,A
587,close,black sphere,blue sphere,A
588,close,blue sphere,green cube,A
589,close,yellow sphere,blue sphere,A
590,close,green sphere,magenta sphere,A
591,close,blue cube,yellow sphere,A
592,close,magenta cube,cyan cube,A
593,close,magenta sphere,cyan sphere,A
594,close,magenta cube,blue sphere,A
595,close,black cube,red sphere,A
596,close,blue cube,black cube,A
597,close,black cube,yellow sphere,A
598,close,green cube,magenta cube,A
599,close,black sphere,red sphere,A
600,far,magenta sphere,green cube,A
601,far,magenta cube,red sphere,A
602,far,magenta sphere,blue sphere,A
603,far,yellow cube,red sphere,A
604,far,cyan sphere,red cube,A
605,far,red sphere,green sphere,A
606,far,yellow sphere,black cube,A
607,far,green cube,cyan cube,A
608,far,black sphere,blue cube,A
609,far,cyan cube,blue sphere,A
610,far,yellow cube,magenta cube,A
611,far,cyan sphere,magenta cube,A
612,far,black cube,blue cube,A
613,far,blue sphere,yellow sphere,A
614,far,cyan sphere,red cube,A
615,far,red sphere,black sphere,A
616,far,yellow sphere,blue cube,A
617,far,yellow cube,blue cube,A
618,far,cyan sphere,blue sphere,A
619,far,black sphere,blue sphere,A
620,far,blue cube,cyan cube,A
621,far,yellow cube,blue cube,A
622,far,green sphere,cyan cube,A
623,far,green sphere,yellow sphere,A
624,far,blue cube,black sphere,A
625,far,magenta sphere,red cube,A
626,far,cyan cube,black sphere,A
627,far,magenta sphere,yellow sphere,A
628,far,magenta cube,black sphere,A
629,far,blue sphere,blue cube,A
630,far,black cube,yellow sphere,A
631,far,yellow cube,red sphere,A
632,far,magenta sphere,blue sphere,A
633,far,cyan sphere,green sphere,A
634,far,green cube,magenta cube,A
635,far,green sphere,red sphere,A
636,far,cyan sphere,black cube,A
637,far,cyan sphere,black cube,A
638,far,blue cube,cyan sphere,A
639,far,blue sphere,blue cube,A
640,far,blue cube,red cube,A
641,far,red cube,red sphere,A
642,far,blue cube,green cube,A
643,far,magenta cube,cyan sphere,A
644,far,black sphere,green sphere,A
645,far,green cube,magenta cube,A
646,far,black sphere,cyan cube,A
647,far,cyan cube,red sphere,A
648,far,magenta cube,yellow cube,A
649,far,red cube,red sphere,A
650,far,cyan cube,black sphere,A
651,far,magenta cube,black cube,A
652,far,black sphere,magenta sphere,A
653,far,cyan sphere,green sphere,A
654,far,blue sphere,blue cube,A
655,far,yellow cube,yellow sphere,A
656,far,black sphere,red cube,A
657,far,red sphere,yellow cube,A
658,far,cyan sphere,blue sphere,A
659,far,blue sphere,cyan sphere,A
660,far,green sphere,green cube,A
661,far,red cube,magenta sphere,A
662,far,yellow sphere,green sphere,A
663,far,cyan cube,yellow cube,A
664,far,blue cube,red cube,A
665,far,red cube,blue cube,A
666,far,blue cube,blue sphere,A
667,far,red sphere,black cube,A
668,far,green cube,cyan sphere,A
669,far,magenta sphere,green cube,A
670,far,cyan cube,red cube,A
671,far,red sphere,yellow sphere,A
672,far,magenta sphere,green cube,A
673,far,yellow sphere,yellow cube,A
674,far,blue cube,yellow cube,A
675,far,yellow cube,cyan sphere,A
676,far,blue cube,red sphere,A
677,far,black cube,blue sphere,A
678,far,red cube,blue cube,A
679,far,blue sphere,black cube,A
680,far,yellow sphere,green cube,A
681,far,black cube,green sphere,A
682,far,red sphere,green cube,A
683,far,cyan sphere,green sphere,A
684,far,blue cube,magenta cube,A
685,far,cyan cube,blue sphere,A
686,far,black cube,magenta cube,A
687,far,black cube,magenta cube,A
688,far,blue sphere,red cube,A
689,far,blue sphere,green cube,A
690,far,green sphere,green cube,A
691,far,black cube,green cube,A
692,far,black sphere,red cube,A
693,far,blue sphere,blue cube,A
694,far,red cube,black sphere,A
695,far,black sphere,blue sphere,A
696,far,red sphere,yellow sphere,A
697,far,blue sphere,yellow sphere,A
698,far,green cube,black cube,A
699,far,black sphere,green sphere,A
700,far,red cube,red sphere,A
701,far,cyan cube,cyan sphere,A
702,far,blue sphere,yellow cube,A
703,far,blue sphere,yellow cube,A
704,far,black cube,cyan cube,A
705,far,black cube,magenta sphere,A
706,far,black cube,cyan sphere,A
707,far,blue cube,red sphere,A
708,far,magenta sphere,blue cube,A
709,far,blue cube,black cube,A
710,far,red sphere,green sphere,A
711,far,green cube,magenta sphere,A
712,far,blue sphere,red sphere,A
713,far,blue sphere,cyan sphere,A
714,far,black sphere,cyan cube,A
715,far,green sphere,green cube,A
716,far,black sphere,yellow sphere,A
717,far,yellow sphere,blue cube,A
718,far,magenta cube,blue cube,A
719,far,yellow cube,blue sphere,A
720,far,black cube,red sphere,A
721,far,black sphere,yellow sphere,A
722,far,blue cube,yellow sphere,A
723,far,red sphere,magenta cube,A
724,far,yellow sphere,cyan cube,A
725,far,blue sphere,magenta cube,A
726,far,yellow sphere,cyan cube,A
727,far,blue cube,yellow cube,A
728,far,yellow sphere,green sphere,A
729,far,magenta sphere,blue cube,A
730,far,blue sphere,black sphere,A
731,far,red cube,green sphere,A
732,far,red sphere,magenta cube,A
733,far,cyan cube,green cube,A
734,far,cyan cube,cyan sphere,A
735,far,black cube,yellow sphere,A
736,far,blue sphere,green cube,A
737,far,red sphere,blue sphere,A
738,far,magenta cube,blue cube,A
739,far,yellow cube,black cube,A
740,far,magenta sphere,blue sphere,A
741,far,yellow sphere,red cube,A
742,far,black sphere,cyan sphere,A
743,far,yellow cube,green sphere,A
744,far,cyan sphere,red sphere,A
745,far,yellow sphere,cyan sphere,A
746,far,magenta cube,green sphere,A
747,far,blue sphere,cyan cube,A
748,far,yellow cube,black sphere,A
749,far,black sphere,black cube,A
750,far,green sphere,yellow sphere,A
751,far,blue cube,magenta sphere,A
752,far,yellow sphere,green sphere,A
753,far,green cube,blue sphere,A
754,far,cyan cube,blue cube,A
755,far,green sphere,cyan sphere,A
756,far,black sphere,red sphere,A
757,far,blue sphere,green cube,A
758,far,cyan cube,yellow sphere,A
759,far,yellow sphere,blue cube,A
760,far,cyan cube,blue cube,A
761,far,red cube,cyan sphere,A
762,far,cyan cube,green sphere,A
763,far,black cube,cyan cube,A
764,far,yellow sphere,cyan sphere,A
765,far,red sphere,magenta sphere,A
766,far,magenta cube,cyan cube,A
767,far,blue sphere,blue cube,A
768,far,yellow sphere,red cube,A
769,far,cyan cube,red cube,A
770,far,magenta sphere,yellow cube,A
771,far,black cube,black sphere,A
772,far,black cube,cyan sphere,A
773,far,black cube,black sphere,A
774,far,magenta cube,cyan cube,A
775,far,cyan sphere,yellow sphere,A
776,far,blue sphere,green sphere,A
777,far,cyan cube,blue sphere,A
778,far,black cube,blue sphere,A
779,far,blue cube,cyan cube,A
780,far,yellow cube,cyan cube,A
781,far,blue sphere,green sphere,A
782,far,magenta cube,blue sphere,A
783,far,black cube,red cube,A
784,far,cyan sphere,black sphere,A
785,far,black sphere,blue sphere,A
786,far,black sphere,green cube,A
787,far,green sphere,black cube,A
788,far,black sphere,green cube,A
789,far,red cube,green cube,A
790,far,blue cube,green cube,A
791,far,green sphere,cyan sphere,A
792,far,magenta cube,blue cube,A
793,far,yellow cube,magenta sphere,A
794,far,blue sphere,red cube,A
795,far,black cube,magenta cube,A
796,far,red sphere,green cube,A
797,far,cyan sphere,black sphere,A
798,far,magenta cube,black cube,A
799,far,magenta sphere,yellow cube,A
800,left,black cube,black sphere,left
801,left,green cube,red cube,left
802,left,yellow sphere,black cube,left
803,left,green cube,blue sphere,left
804,left,blue cube,magenta sphere,left
805,left,blue sphere,green sphere,left
806,left,black sphere,green sphere,left
807,left,blue cube,black cube,left
808,left,magenta sphere,red cube,left
809,left,green sphere,red cube,left
810,left,green sphere,blue cube,left
811,left,magenta cube,black sphere,left
812,left,magenta cube,yellow sphere,left
813,left,blue cube,magenta sphere,left
814,left,black sphere,cyan cube,left
815,left,green cube,red cube,left
816,left,yellow sphere,blue cube,left
817,left,black cube,green sphere,left
818,left,magenta sphere,cyan cube,left
819,left,yellow sphere,black cube,left
820,left,black cube,red sphere,left
821,left,blue sphere,blue cube,left
822,left,cyan cube,yellow cube,left
